id,identificador,ubicacion,latitud,longitud,municipio_id,provincia_id,id_departamento,error
1171,SFE227-02,,0,0,SFE227,AR-S,1694,'SFE227' is not in list
1169,SFE227-03,,0,0,SFE227,AR-S,1694,'SFE227' is not in list
671,TUC036-01,,0,0,TUC036,AR-T,1651,'TUC036' is not in list
374,CBA404-01,,0,0,CBA404,AR-X,1391,'CBA404' is not in list
392,ERI064-01,Villa Paranacito - Plaza de los Ninos,-34.000.000,-59.000.000,ERI064,AR-E,1438,'ERI064' is not in list
317,MIS047-01,,0,0,MIS047,AR-N,1544,'MIS047' is not in list
1263,CHU022-01,,0,0,CHU022,AR-U,1376,'CHU022' is not in list
665,CHU022-02,Municipalidad,-42.262.611,-69.221.972,CHU022,AR-U,1376,'CHU022' is not in list
1264,CHU022-03,,0,0,CHU022,AR-U,1376,'CHU022' is not in list
1260,CHU022-04,,0,0,CHU022,AR-U,1376,'CHU022' is not in list
633,MIS057-01,Punto Digital,-27.374.308,-55.898.582,MIS057,AR-N,1547,'MIS057' is not in list
164,MIS057-02,Posadas - Centro de integracion territorial(Barrio Miguel Lanus),-27.396.097,-55.963.227,MIS057,AR-N,1547,'MIS057' is not in list
163,MIS057-03,Posadas - Paseo la terminal,-27.419.933,-55.930.880,MIS057,AR-N,1547,'MIS057' is not in list
