municipio_id,provincia_id,id_departamento,municipio,provincia,departamento ,error
CBA107,AR-N,1541,Montecarlo,Misiones,Montecarlo,El formato del id de municipio no coincide con la provincia
TUC009,AR-N,1541,Montecarlo,Misiones,Montecarlo,El formato del id de municipio no coincide con la provincia
COR012,AR-U,1376,Lagunita Salada,Chubut,Gastre,El formato del id de municipio no coincide con la provincia
BUE131,AR-Y,1459,Abdon Castro Tolay,Jujuy,Cochinoca,El formato del id de municipio no coincide con la provincia
SFE054,AR-M,1524,Malargue,Mendoza,Malargue,El formato del id de municipio no coincide con la provincia
ERI068,AR-M,1524,Malargue,Mendoza,Malargue,El formato del id de municipio no coincide con la provincia
BUE069,AR-N,1534,Almafuerte,Misiones,Leandro N. Alem,El formato del id de municipio no coincide con la provincia
SGO057,AR-A,1667,El Carril,Salta,Chicoana,El formato del id de municipio no coincide con la provincia
RNO035,AR-F,1513,Sanagasta,La Rioja,Sanagasta,El formato del id de municipio no coincide con la provincia
NEU025,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles,El formato del id de municipio no coincide con la provincia
SFE242,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles,El formato del id de municipio no coincide con la provincia
CAT004,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles,El formato del id de municipio no coincide con la provincia
RNO017,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles,El formato del id de municipio no coincide con la provincia
SGO105,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles,El formato del id de municipio no coincide con la provincia
BUE016,AR-K,1330,Andalgala,Catamarca,Andalgala,El formato del id de municipio no coincide con la provincia
COR062,AR-K,1330,Andalgala,Catamarca,Andalgala,El formato del id de municipio no coincide con la provincia
BUE088,AR-T,1644,Bella Vista,Tucuman,Leales,El formato del id de municipio no coincide con la provincia
SFE188,AR-A,1680,Santa Victoria Este,Salta,Rivadavia,El formato del id de municipio no coincide con la provincia
NEU020,AR-U,1371,Trevelin,Chubut,Futaleufu,El formato del id de municipio no coincide con la provincia
JUJ029,AR-B,1258,La Costa,Buenos Aires,La Costa,El formato del id de municipio no coincide con la provincia
